id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
39280801,2012,8,6,300.0,3,2,1978,7,4,2.0,,2.0
39310701,2017,13,6,8578.0,3,1,1981,7,1,1.0,,2.0
39840101,2010,6,3,6875.0,4,1,1966,7,1,2.0,,2.0
39870201,2012,8,5,7950.0,3,1,1972,7,1,2.0,,2.0
39880101,2010,6,3,2198.0,2,1,1949,3,1,2.0,,2.0
40310101,2007,3,6,489.0,1,2,1946,3,2,1.0,,2.0
40320101,2008,4,5,0.0,1,2,1928,2,2,2.0,,2.0
40620101,2016,12,7,4321.0,3,1,1951,4,1,1.0,,2.0
41730101,2012,8,5,6830.0,3,1,1969,7,1,2.0,,2.0
42090101,2008,4,6,1146.0,1,1,1971,5,5,2.0,,2.0
42430101,2008,4,6,2028.0,3,1,1966,3,1,1.0,,2.0
43620101,2010,6,3,1513.0,1,2,1942,5,2,1.0,,2.0
43690101,2010,6,3,1113.0,1,1,1935,5,2,2.0,,2.0
44160101,2008,4,5,608.0,2,1,1928,4,1,2.0,,2.0
44520101,2009,5,6,8142.0,4,1,1971,7,1,2.0,,1.0
44550101,2008,4,3,5394.0,3,1,1975,7,1,1.0,,2.0
44550101,2012,8,6,6019.0,4,1,1975,7,1,1.0,,2.0
44760101,2006,2,6,3400.0,4,1,1975,7,1,1.0,,1.0
44760101,2014,10,5,7900.0,4,1,1975,7,1,1.0,,2.0
44860101,2013,9,6,1164.0,2,1,1939,7,1,1.0,,1.0
44930101,2009,5,6,1099.0,4,1,1970,5,1,2.0,,2.0
45231101,2017,13,6,8313.0,4,2,1967,5,1,2.0,,1.0
45300101,2006,2,6,247.0,1,2,1929,2,2,2.0,,1.0
45330101,2014,10,6,585.0,1,1,1931,2,2,2.0,,2.0
45460501,2010,6,6,1910.0,1,2,1988,6,5,2.0,,2.0
45470101,2009,5,6,5794.0,2,1,1977,7,1,2.0,,2.0
45530101,2014,10,6,4588.0,1,1,1975,6,1,1.0,,1.0
45640101,2006,2,6,3839.0,4,1,1974,7,1,2.0,,2.0
45680101,2010,6,6,4139.0,4,1,1971,6,1,1.0,,2.0
45760101,2009,5,6,600.0,1,2,1930,3,2,1.0,,2.0
45810101,2015,11,6,2363.0,2,2,1944,4,2,1.0,,2.0
46000101,2008,4,6,1269.0,2,1,1921,3,1,2.0,,2.0
46360101,2010,6,6,5872.0,7,2,1949,4,3,1.0,,2.0
46550101,2015,11,6,651.0,1,2,1930,3,2,2.0,,1.0
46630101,2009,5,6,616.0,1,2,1936,2,2,1.0,,2.0
46670101,2010,6,6,1304.0,2,1,1958,3,1,2.0,,2.0
